customer,customer_country,counterparty,ccy,converted_time,scaled_amount,type_DIVIDEND,type_INTEREST,type_INVESTMENT,type_OTHER,type_PAYMENT,type_TRANSFER,type_TT,counterparty_country_CN,counterparty_country_DE,counterparty_country_FR,counterparty_country_HK,counterparty_country_IN,counterparty_country_JP,counterparty_country_SG,counterparty_country_UK,counterparty_country_US,outside_normal_hrs,customer_local_ccy,no_common_ccy,fraud_flag
C12976926337644,UK,77697395249488,JPY,2021-03-19 21:59:25,-0.1867317254380825,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
C12976926337644,UK,77697395249488,GBP,2021-05-01 19:00:38,-0.1150314602464765,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
C12976926337644,UK,77697395249488,USD,2021-05-23 14:15:15,-0.0125158369735293,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
C12976926337644,UK,77697395249488,CNY,2021-07-07 13:36:50,-0.0389453294306417,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C12976926337644,UK,77697395249488,USD,2021-09-01 16:14:03,-0.0107969422172351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
C12976926337644,UK,77697395249488,CNY,2021-12-01 12:13:41,-0.0395671608136261,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C12976926337644,UK,77697395249488,GBP,2021-03-11 17:13:10,-0.0575679702392565,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
C12976926337644,UK,77697395249488,CNY,2021-06-09 10:06:56,-0.1666987677713551,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
C12976926337644,UK,77697395249488,CNY,2021-08-14 06:03:57,-0.1666502518370329,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
C12976926337644,UK,77697395249488,BRL,2021-09-26 12:46:45,-0.1406507365385847,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
C12976926337644,UK,77697395249488,USD,2021-12-05 18:34:31,0.0483458283403396,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
C12976926337644,UK,26798388125766,GBP,2021-04-03 13:44:54,-0.0582055748494068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C12976926337644,UK,26798388125766,EUR,2021-11-13 12:49:44,-0.0414013551774348,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C12976926337644,UK,26798388125766,GBP,2021-11-06 10:47:51,-0.039587372231504,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C12976926337644,UK,15992448148323,INR,2021-06-10 04:48:20,-0.1856931138215864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C12976926337644,UK,15992448148323,GBP,2021-01-30 07:52:19,-0.0677394094070172,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C12976926337644,UK,15992448148323,EUR,2021-08-07 07:06:35,-0.0169943355325663,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C12976926337644,UK,68147528612978,GBP,2021-07-28 15:53:27,-0.0129001271657913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C12976926337644,UK,68147528612978,HKD,2021-09-01 09:40:30,-0.0484725947983224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C12976926337644,UK,68147528612978,HKD,2021-09-09 17:14:38,-0.0487098423352506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C12976926337644,UK,68147528612978,HKD,2021-10-20 16:02:32,-0.0481238963732384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C12976926337644,UK,68147528612978,GBP,2021-05-11 12:57:47,-0.0925740984008372,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
