customer,customer_country,fraud_flag,timestamp,counterparty,counterparty_country,type,ccy,amount,hr_rounded,converted_time,converted_amount,scaled_amount
C12976926337644,UK,N,2021-03-20 05:59:25,77697395249488,CN,OTHER,JPY,48625.25,6,2021-03-19 21:59:25,330.6517,-0.18673172543808259
C12976926337644,UK,N,2021-05-02 03:00:38,77697395249488,CN,PAYMENT,GBP,20637.21,3,2021-05-01 19:00:38,23526.419399999995,-0.11503146024647652
C12976926337644,UK,N,2021-05-23 22:15:15,77697395249488,CN,PAYMENT,USD,56691.27,22,2021-05-23 14:15:15,56691.27,-0.012515836973529334
C12976926337644,UK,N,2021-07-07 21:36:50,77697395249488,CN,PAYMENT,CNY,343864.71,22,2021-07-07 13:36:50,48141.059400000006,-0.038945329430641704
C12976926337644,UK,N,2021-09-02 00:14:03,77697395249488,CN,PAYMENT,USD,57247.35,0,2021-09-01 16:14:03,57247.35,-0.010796942217235131
C12976926337644,UK,N,2021-12-01 20:13:41,77697395249488,CN,PAYMENT,CNY,342427.79,20,2021-12-01 12:13:41,47939.8906,-0.039567160813626184
C12976926337644,UK,N,2021-03-12 01:13:10,77697395249488,CN,TT,GBP,36944.25,1,2021-03-11 17:13:10,42116.445,-0.05756797023925651
C12976926337644,UK,N,2021-06-09 18:06:56,77697395249488,CN,TT,CNY,48653.7,18,2021-06-09 10:06:56,6811.518,-0.16669876777135517
C12976926337644,UK,N,2021-08-14 14:03:57,77697395249488,CN,TT,CNY,48765.81,14,2021-08-14 06:03:57,6827.213400000001,-0.1666502518370329
C12976926337644,UK,N,2021-09-26 20:46:45,77697395249488,CN,TT,BRL,76191.61,21,2021-09-26 12:46:45,15238.322,-0.14065073653858476
C12976926337644,UK,N,2021-12-06 02:34:31,77697395249488,CN,TT,USD,76380.64,3,2021-12-05 18:34:31,76380.64,0.04834582834033968
C12976926337644,UK,N,2021-04-03 21:44:54,26798388125766,DE,BILLING,GBP,36763.31,22,2021-04-03 13:44:54,41910.17339999999,-0.058205574849406895
